Identifier,Title,Creator,Date,Extent,Type,Rights,Description,
Watercolor,Brain fog,Kyrianna Bolles,2022,"13.5"" x 10.5"" ",Stillimage,Kyrianna/Ewing Gallery,Picture of a detailed human face that is covered in fully grown frogs that are latched on and frog eggs in the hair.,
Brain,Carousel,Elizabeth Jameson,2010,"3ftx15ft, approx",Stillimage,Elizabeth/Ewing Gallery,Highly vibrant array of colors of multiple images that consist of the entire human brain lined up side by side,
Solar,Sun & Moon,Elizabeth Jameson,2009,"12""x12""",Stillimage,Elizabeth/Ewing Gallery,"Two vibrant colors of blue and red are split, with blue having a circular object",
Animal eye,Zora: How I understand,Riva Lehrer,2009,"40"" x 50""",Stillimage,Riva/Ewing Gallery,Full model of a black fur dog and a human on a pile of dead leaves. Within the dead leaves an array of other animal species' eyes are staring at the viewer,
Element bond,Kamen's Lens (5),Rebecca Kamen,2011,"18"" x 12""",Stillimage,Rebecca/Ewing Gallery,multicolor blots that are connected by small thin lines with some colors blending together or some running straight through other blots without mixing,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
